고유번호,거래유형,단지명,매물가격,월세가격,공급면적(m2),전용면적(m2),층수,방향,특징,URL
108364_1,매매,마포래미안푸르지오,185000,0,113.23,84.59,10/24,남동향,로얄층 확트인뷰 깨끗한집,https://new.land.naver.com?articleNo=108364_1
108364_2,전세,마포래미안푸르지오,95000,0,113.23,84.59,5/24,남향,융자없는 전세 즉시입주,https://new.land.naver.com?articleNo=108364_2
100918_1,매매,가락 헬리오시티,210000,0,107.01,84.99,15/35,남향,풀에어컨 확장형 입주협의,https://new.land.naver.com?articleNo=100918_1
100918_2,월세,가락 헬리오시티,10000,150,107.01,84.99,20/35,동향,반전세 보증금 조절가능,https://new.land.naver.com?articleNo=100918_2
001234_1,매매,반포 자이,450000,0,116.5,84.94,12/29,남향,초품아 역세권 로얄동,https://new.land.naver.com?articleNo=001234_1
001234_2,매매,반포 자이,360000,0,84.2,59.98,22/29,동향,채광좋은 고층,https://new.land.naver.com?articleNo=001234_2
005678_1,매매,신길 래미안에스티움,140000,0,110.5,84.32,8/27,남향,입주가능 에어컨4대,https://new.land.naver.com?articleNo=005678_1
005678_2,전세,신길 래미안에스티움,70000,0,110.5,84.32,13/27,남동향,급전세 상태최상,https://new.land.naver.com?articleNo=005678_2
009999_1,매매,고덕 그라시움,165000,0,113.2,84.24,5/35,남향,급매물 가격조정가능,https://new.land.naver.com?articleNo=009999_1
009999_2,전세,고덕 그라시움,85000,0,83.5,59.78,16/35,동향,첫입주 깨끗함,https://new.land.naver.com?articleNo=009999_2
112233_1,매매,옥수 파크힐스,175000,0,108.5,84.88,9/20,남동향,한강조망 확트임,https://new.land.naver.com?articleNo=112233_1
112233_2,월세,옥수 파크힐스,5000,250,85.2,59.9,14/20,남향,보증금 조절가능 풀옵션,https://new.land.naver.com?articleNo=112233_2
